SegmentR,PEPR,AgeR,TimeRelationR,IncomeSourceR,ActivityR,NationalityR,CommonAddR,ProductTR,SubproductR,OperationTR,MonetaryInstR,DivisaR,ChannelR,OperabilitySR,OGoverR,SARR,VMR,VOR,SumSeR,SumReR,RSR,AAR,SendingNumR,ReceivingNumR,StateOpeR,StateResR,MunOpeR,MunResR,CountryR
97,100,96,97,52,98,96,72,50,49,98,100,100,72,99,71,50,59,78,64,84,46,68,80,42,90,80,99,90,96
97,98,98,100,52,97,98,68,50,50,100,99,80,72,98,71,51,62,97,85,64,46,68,79,59,92,82,100,88,100
79,97,97,100,49,100,97,69,51,23,99,98,100,99,100,70,50,58,80,66,64,46,68,81,60,89,81,100,91,96
98,97,97,97,52,99,96,71,50,49,98,97,98,98,97,72,48,61,80,65,83,43,89,79,42,91,81,97,88,96
96,99,98,98,50,98,98,70,50,51,96,96,98,70,97,70,51,59,79,67,87,47,71,78,58,89,79,100,90,98
81,99,97,99,51,99,96,69,48,49,100,98,78,70,100,69,50,60,80,86,86,46,90,82,41,90,79,97,88,98
97,97,96,96,49,99,100,71,50,27,99,98,99,97,98,70,49,59,98,87,64,44,72,81,38,92,79,96,89,96
80,100,99,100,48,98,99,69,50,49,99,99,80,98,99,70,50,59,78,63,83,47,91,80,38,90,79,99,91,96
78,99,99,97,50,99,99,68,51,24,100,96,100,72,96,70,51,62,97,65,65,46,68,81,40,88,81,96,91,96
79,98,98,98,51,96,98,72,52,27,97,100,96,100,96,72,49,62,79,66,86,43,69,81,42,90,79,97,89,99
79,98,100,99,48,97,100,71,49,27,98,97,98,72,98,71,51,58,79,86,63,45,69,78,62,89,82,97,89,100
79,98,97,99,52,96,100,70,48,48,99,96,98,71,97,70,50,62,82,86,65,44,72,82,58,91,78,98,91,97
80,98,99,99,49,97,98,68,49,50,97,96,97,71,97,69,50,62,78,83,64,44,71,82,42,92,81,99,91,96
97,98,97,98,48,98,96,70,50,24,96,97,81,69,97,69,50,58,80,67,63,43,90,81,61,90,78,100,88,98
98,98,98,100,48,98,97,70,50,25,100,100,81,70,100,69,52,59,100,85,63,47,71,78,38,91,81,97,90,98
82,98,100,98,48,97,99,72,52,52,99,97,98,70,96,70,52,60,80,84,86,44,89,81,62,89,81,99,92,97
97,98,99,96,50,97,96,72,52,51,98,100,97,97,100,71,50,60,82,87,86,43,72,79,40,88,81,99,88,98
79,100,98,99,49,99,99,69,49,51,99,97,100,72,96,69,51,59,82,63,84,44,68,78,42,92,82,96,91,100
100,100,97,99,49,97,96,68,51,24,97,100,97,70,98,70,51,60,97,84,63,45,89,78,40,88,82,97,88,96
100,96,99,96,50,97,98,68,49,52,98,96,82,69,100,71,48,58,81,64,84,46,71,80,38,89,81,96,88,98
82,96,99,100,50,97,97,70,51,50,99,96,79,99,97,72,51,61,99,84,65,44,71,79,38,89,81,97,92,97
99,98,97,97,52,96,100,68,52,51,99,100,79,72,97,72,51,60,99,85,85,44,91,79,42,91,78,98,88,98
79,97,98,99,48,97,98,72,48,26,97,100,81,69,100,72,48,58,97,66,63,47,89,81,59,88,80,99,90,98
78,96,100,99,49,96,99,70,49,24,96,100,78,69,96,69,48,61,81,85,86,45,68,80,62,88,82,98,90,99
82,100,100,97,50,100,100,69,52,52,96,100,82,68,97,71,51,62,96,63,66,47,89,82,58,88,78,96,89,98
100,100,99,100,49,96,98,69,52,25,97,97,99,100,98,72,48,59,82,64,64,45,72,82,40,90,81,98,92,96
96,98,98,100,49,96,100,71,52,52,99,96,98,71,98,72,52,60,79,85,65,43,88,79,39,90,79,96,92,100
97,98,97,97,52,99,97,68,51,48,97,98,78,69,97,68,51,58,100,67,87,45,88,78,41,88,81,96,89,97
82,96,100,98,50,96,99,68,52,23,98,98,98,100,99,68,49,59,96,66,84,47,88,79,62,91,81,98,89,98
82,98,96,97,52,98,96,72,49,27,100,99,97,96,99,70,48,58,82,64,85,47,68,81,59,92,78,97,90,96
97,98,99,96,48,100,100,68,52,23,99,98,97,68,98,69,50,58,97,64,86,45,92,82,38,90,78,99,92,99
100,98,97,97,48,96,97,71,51,27,97,98,99,70,100,72,52,60,81,84,65,46,72,78,41,90,80,100,88,96
82,98,99,96,48,99,100,70,49,48,97,96,82,99,100,72,52,61,80,65,87,45,88,81,39,92,80,97,91,100
97,98,96,98,52,100,97,68,50,48,99,96,82,96,100,72,50,58,97,66,66,43,90,80,42,89,79,96,92,96
97,96,96,99,49,96,99,70,51,52,97,100,82,71,97,70,50,62,96,84,85,43,90,78,62,89,78,98,89,100
78,99,99,96,51,97,100,70,50,48,99,98,79,71,96,70,52,58,78,67,67,44,92,79,60,91,82,98,90,97
82,98,97,98,48,97,97,72,48,50,100,98,98,71,100,70,48,58,78,84,85,43,92,80,40,92,79,96,90,96
99,98,99,100,51,99,96,71,49,27,97,98,82,99,100,72,50,62,80,86,87,44,71,79,40,88,82,97,89,96
99,100,97,100,51,96,97,72,48,25,100,99,98,99,100,71,52,62,99,64,67,45,68,78,60,90,80,100,92,97
78,99,98,97,52,98,97,68,52,26,99,96,100,99,98,72,52,58,99,84,86,46,70,78,60,88,81,98,91,100
80,96,97,100,49,99,96,69,51,51,97,99,78,98,97,72,51,61,81,63,64,43,68,79,38,89,78,99,91,97
82,100,99,97,49,97,96,70,49,49,97,98,98,68,100,72,52,58,78,64,66,47,90,81,60,92,81,97,91,98
78,96,98,98,49,100,96,72,48,26,100,100,81,72,98,69,52,58,99,65,85,46,90,78,60,89,81,97,92,97
98,97,96,98,49,96,97,72,51,50,100,97,96,99,96,71,50,62,97,85,87,43,72,79,62,92,81,99,88,100
98,96,99,99,49,96,98,69,49,51,100,100,81,99,98,71,48,59,79,87,66,47,70,78,61,89,80,96,92,100
78,96,97,98,49,98,99,72,48,24,96,97,99,96,99,70,51,59,82,64,86,45,88,82,38,90,78,97,90,96
80,100,99,98,48,96,98,72,49,52,97,100,97,68,99,70,49,59,96,66,63,47,91,82,42,90,82,97,89,96
98,97,97,100,49,97,99,69,51,24,98,99,98,100,96,69,48,60,100,65,87,45,68,80,60,90,78,99,89,99
82,98,96,99,49,100,97,68,50,27,100,99,79,96,98,68,51,62,97,63,66,44,68,82,40,92,80,99,89,96
99,98,100,97,49,99,96,69,52,51,99,100,97,71,100,69,48,59,99,66,85,47,68,78,59,91,82,99,92,96
82,97,100,100,51,100,100,71,50,26,98,96,79,100,100,71,50,58,97,85,64,44,71,80,38,91,82,98,89,96
78,96,97,96,51,96,98,71,50,25,100,100,99,72,100,72,50,61,78,66,87,43,91,82,61,88,79,99,91,100
96,97,96,96,48,98,97,72,50,25,99,99,78,71,100,72,52,61,81,85,65,47,70,79,40,92,82,96,88,99
99,99,100,97,48,98,96,71,48,26,100,99,97,96,96,71,51,59,97,66,84,47,90,78,41,90,81,96,92,99
80,96,99,96,50,99,100,71,48,51,98,96,81,97,96,69,52,60,99,87,87,47,71,79,39,88,82,100,88,97
99,99,99,97,51,98,96,71,52,23,99,100,79,97,99,72,49,62,80,87,83,44,91,79,40,88,81,98,88,96
81,100,97,98,50,100,98,69,52,48,100,97,80,100,97,72,50,58,98,64,64,44,70,80,62,91,81,98,92,96
96,98,98,97,50,96,100,68,50,23,97,97,81,97,99,70,50,61,80,86,87,45,89,79,60,91,81,97,91,97
96,97,100,99,51,100,98,70,50,27,100,97,96,68,98,70,51,59,96,86,83,44,90,82,61,91,78,99,91,96
100,100,96,100,50,100,100,70,50,26,98,97,99,98,97,70,52,59,80,83,66,47,68,80,61,89,80,97,90,97
96,99,96,96,50,100,96,69,52,26,97,96,100,71,100,69,49,59,79,86,87,43,88,79,41,88,82,98,91,98
81,97,99,96,48,100,96,72,50,25,97,97,96,98,100,71,48,62,80,65,83,47,88,78,40,89,80,96,89,97
80,96,99,97,48,99,98,70,50,24,96,100,96,71,96,72,52,60,80,64,83,46,90,82,41,92,80,96,91,99
96,98,97,98,50,96,97,72,52,50,97,100,97,71,100,71,50,61,97,63,67,46,89,80,38,88,80,96,88,98
81,97,99,98,51,99,99,69,48,49,97,97,100,72,96,72,51,60,98,83,87,47,71,81,59,88,80,96,90,99
97,99,99,98,49,98,100,69,48,25,96,100,78,100,96,71,51,59,97,86,63,45,89,79,58,91,79,98,91,100
100,99,100,97,50,99,99,68,50,49,96,97,79,98,99,71,48,61,80,67,84,45,72,81,39,92,82,99,89,99
100,99,97,96,52,97,99,69,49,27,99,96,78,100,98,71,51,62,96,67,66,46,91,81,59,92,81,100,90,100
79,100,98,96,49,96,100,68,51,51,98,100,79,96,100,68,52,58,99,63,83,44,91,80,42,88,82,99,92,98
79,98,98,100,52,99,99,71,51,27,99,100,78,68,98,69,52,61,78,85,66,45,68,79,62,92,78,96,92,99
98,97,97,100,51,99,96,69,51,25,96,100,97,71,100,69,48,62,100,64,66,46,68,82,38,91,81,99,92,98
79,97,98,97,52,97,97,72,49,27,100,96,96,70,98,72,52,60,98,87,64,45,88,81,38,89,81,96,91,98
96,98,99,100,50,100,97,69,52,49,97,96,81,71,98,69,52,62,99,67,84,47,92,81,62,90,82,96,88,97
100,96,99,97,50,99,96,68,50,23,98,100,78,72,99,72,50,58,100,84,84,47,68,80,42,88,79,99,91,100
99,98,98,100,50,96,100,69,48,24,100,98,78,69,97,69,49,61,81,84,65,47,71,81,42,91,80,100,91,99
80,97,100,98,52,99,97,69,52,51,100,100,97,68,99,70,50,59,78,87,65,47,72,78,42,88,79,97,92,99
79,100,97,98,52,100,97,72,50,50,99,100,82,68,98,69,51,60,99,63,86,43,71,82,62,91,80,99,88,99
82,98,99,98,50,97,96,70,51,51,98,96,99,68,99,68,52,60,100,86,84,46,69,82,62,89,81,97,90,99
82,100,97,98,52,97,96,70,49,25,98,100,99,68,99,71,48,59,99,65,84,44,71,80,39,90,78,100,89,98
78,100,96,96,51,99,100,68,48,24,98,100,80,72,98,72,49,62,82,85,86,44,70,79,61,90,81,97,90,98
100,97,99,99,51,98,99,71,51,26,100,100,80,69,97,70,48,61,98,84,67,43,88,79,58,92,79,97,91,98
97,98,96,97,51,96,99,70,49,23,99,98,80,98,98,71,48,60,81,83,64,46,90,81,60,90,78,100,88,100
81,100,97,99,50,97,96,72,50,52,99,97,96,71,98,69,48,62,78,83,67,45,71,78,41,92,80,97,89,97
96,100,99,99,50,96,99,72,52,51,100,98,78,69,96,68,51,59,96,67,64,45,72,82,62,89,78,97,92,97
80,99,98,97,49,99,97,72,50,50,96,96,100,72,98,69,48,58,100,83,63,46,88,79,42,88,80,97,90,100
82,96,97,99,49,98,100,72,52,49,98,99,81,72,96,70,52,61,100,83,67,43,70,81,42,89,79,100,90,97
81,97,97,99,50,98,98,72,49,49,97,98,81,69,98,68,52,58,78,66,87,44,69,81,39,92,82,96,90,99
96,99,100,98,48,96,99,68,48,27,97,100,82,99,99,70,50,60,80,86,67,46,91,80,41,89,82,96,91,99
98,98,96,96,49,97,96,69,49,52,97,97,100,72,98,71,49,61,81,67,87,47,71,79,61,92,80,98,92,98
79,98,99,98,51,98,100,68,52,51,97,96,100,68,100,69,50,61,79,85,64,43,90,79,59,88,80,96,89,100
100,96,99,99,49,99,96,68,48,48,100,99,99,72,96,69,48,59,59,64,83,44,72,79,38,92,81,96,91,97
100,97,97,99,50,97,96,69,52,48,100,99,82,72,98,69,48,59,60,66,63,47,88,78,41,90,80,99,89,100
81,98,97,99,52,99,98,72,50,24,100,100,81,71,100,72,50,61,59,65,86,47,92,81,38,91,82,97,91,98
79,98,98,100,48,96,96,70,51,23,98,98,78,100,99,72,50,58,59,67,83,47,91,80,40,91,82,99,90,97
97,97,97,100,49,97,96,69,49,25,99,99,79,68,99,69,49,62,58,85,86,43,88,78,40,90,79,98,89,98
98,97,96,96,52,100,100,70,51,23,100,98,81,68,100,71,49,58,61,64,65,44,88,79,38,90,80,96,92,96
82,96,98,100,52,98,96,71,52,24,97,100,79,98,97,69,50,59,60,86,86,43,91,80,58,88,81,99,89,96
79,100,98,97,49,98,99,72,48,25,97,99,96,98,97,68,48,59,60,65,84,43,69,81,58,88,79,98,88,97
100,97,98,96,52,100,98,72,49,49,99,96,82,98,99,69,52,59,62,63,84,45,90,80,61,88,79,97,91,100
80,96,100,97,49,100,99,68,51,23,97,100,98,71,99,71,50,59,60,67,87,44,68,79,62,90,78,100,91,99
100,98,97,97,52,96,97,70,49,25,97,100,97,100,99,72,48,58,58,63,84,46,68,82,41,90,81,99,90,100
97,100,99,99,49,100,98,70,48,26,99,100,81,69,97,71,51,61,61,84,66,46,91,82,60,90,82,99,92,99
100,99,100,96,51,96,99,70,51,48,100,96,100,68,96,71,52,58,62,84,87,47,69,82,38,91,80,98,91,100
78,98,96,100,50,100,96,68,50,52,99,96,97,97,98,70,51,59,58,83,86,44,92,79,41,91,79,98,92,96
99,96,97,98,49,98,98,68,50,52,99,98,98,69,97,72,50,60,59,65,87,46,91,78,60,91,82,99,90,96
100,99,97,98,52,99,96,72,50,24,97,97,80,70,97,68,52,62,62,66,66,44,71,80,41,88,80,96,92,100
99,96,97,98,49,99,98,70,48,26,96,100,81,97,96,68,48,62,61,67,66,45,90,78,59,89,81,99,92,97
97,97,96,98,48,96,99,69,48,25,96,99,78,70,98,68,50,59,62,87,66,44,68,82,40,92,79,98,90,96
100,96,97,99,51,96,97,68,50,52,97,98,96,97,96,72,48,58,58,66,86,43,92,81,59,90,80,97,88,97
80,98,96,97,50,99,98,70,49,48,100,100,96,100,96,70,49,59,58,65,66,46,71,79,40,88,79,97,91,97
80,100,99,97,50,97,98,71,50,49,99,99,79,97,97,70,51,60,60,87,83,45,69,80,40,92,81,100,91,98
100,96,99,99,51,99,98,68,50,24,98,100,80,100,99,69,52,58,61,63,84,45,71,81,39,88,81,97,88,99
82,99,100,100,52,97,100,72,51,24,96,100,79,98,98,69,51,61,61,83,87,46,69,81,41,90,82,98,90,99
98,99,96,100,48,97,97,71,51,50,98,99,97,97,100,72,48,60,60,63,65,47,70,78,61,92,78,100,91,97
81,97,96,99,50,99,96,71,49,25,98,97,78,99,98,69,49,61,61,86,84,44,91,80,61,91,82,96,89,96
79,97,100,96,52,98,98,71,52,23,99,100,79,68,99,69,51,61,60,84,86,46,71,80,38,90,82,98,91,96
100,96,98,98,48,98,99,72,52,25,100,97,80,99,99,69,52,58,61,84,66,44,71,78,39,92,79,96,89,99
96,100,97,97,52,96,97,71,48,52,99,99,80,69,100,72,49,62,60,84,65,45,91,80,62,88,78,99,88,97
98,100,98,100,50,96,96,70,48,49,100,99,81,72,99,69,48,60,58,86,85,45,72,82,40,92,79,97,89,99
97,100,99,98,51,97,96,69,48,51,100,96,80,68,96,70,51,62,62,64,63,47,89,78,41,91,82,97,89,99
96,96,99,98,52,98,97,69,49,51,99,98,98,68,100,68,51,62,59,67,65,45,90,80,38,90,79,98,88,98
79,100,98,98,50,100,96,70,50,27,96,100,79,100,99,69,51,61,59,83,64,45,69,78,39,92,82,100,88,98
78,98,97,96,50,99,97,68,49,24,100,96,97,99,97,69,48,60,59,86,64,47,92,80,41,92,81,99,89,98
100,96,99,100,52,100,100,69,51,49,97,100,78,98,98,71,49,62,62,66,84,46,88,81,40,89,82,97,90,96
99,100,99,96,48,98,96,69,48,25,96,96,99,100,97,72,48,60,59,87,86,44,88,80,59,92,80,96,90,97
97,96,100,96,49,99,97,69,48,52,96,98,100,97,97,69,51,58,60,84,64,44,69,79,62,92,82,96,88,96
100,98,97,99,48,96,99,69,49,27,99,99,78,98,99,69,52,62,62,86,64,43,91,78,39,88,79,100,90,100
81,97,100,98,48,96,96,70,50,26,98,97,80,98,100,68,49,58,59,67,85,45,69,82,58,92,81,97,91,98
100,98,99,97,52,100,100,69,49,27,99,96,78,99,99,71,48,61,60,67,86,43,68,78,41,88,80,97,88,96
97,98,100,97,48,97,100,71,50,49,98,99,80,72,100,72,51,58,61,64,84,43,90,78,39,90,81,96,91,99
78,97,99,99,49,100,96,70,50,23,99,99,99,100,99,71,52,61,59,86,86,43,70,80,59,91,78,98,89,100
98,97,99,100,51,97,96,70,51,48,98,97,78,69,96,71,49,61,62,83,65,45,68,82,40,92,82,100,92,96
98,98,96,100,49,98,99,70,49,51,96,96,96,98,99,70,51,60,60,86,63,43,68,81,59,92,79,100,90,98
99,96,96,99,49,98,98,68,50,52,100,99,82,71,100,70,49,62,58,86,85,43,90,82,58,89,81,100,89,99
99,99,100,100,49,99,97,68,51,52,99,100,78,96,99,72,52,62,58,67,63,45,72,78,61,91,79,97,90,99
82,99,98,98,49,98,99,72,50,27,100,96,79,99,97,68,52,60,61,63,67,43,70,80,59,92,81,100,88,98
100,97,99,99,50,99,98,69,48,51,100,99,78,98,100,71,49,59,58,64,63,46,71,81,62,92,81,99,92,100
97,100,99,97,52,96,100,68,48,26,97,96,100,96,97,69,48,59,59,85,85,46,91,81,60,89,82,96,92,96
79,99,96,96,50,99,99,69,51,25,96,96,81,70,97,68,48,60,62,63,65,43,90,78,58,90,82,99,89,98
100,98,96,96,49,97,98,70,48,25,99,99,96,72,99,70,48,61,58,86,86,46,71,81,39,92,79,100,88,97
78,99,100,99,49,96,97,70,50,49,98,96,96,100,96,71,48,62,62,64,86,43,69,81,39,88,78,98,88,99
96,100,96,96,52,99,97,71,52,50,100,97,98,97,99,72,52,62,61,64,67,46,70,81,61,89,81,100,91,100
99,98,98,100,48,97,98,72,48,23,99,96,96,70,99,70,49,61,60,65,65,44,88,81,58,88,78,100,88,97
99,99,97,100,50,97,98,68,48,51,100,97,99,100,99,72,50,59,61,86,86,44,90,81,62,90,78,96,91,99
78,96,99,99,50,100,100,71,50,49,100,99,79,96,96,68,51,58,59,85,83,45,88,81,62,88,82,99,91,98
78,100,98,96,49,97,97,71,48,27,96,99,81,98,98,71,51,61,61,87,67,46,91,80,42,92,79,98,92,96
97,99,96,100,50,99,97,69,49,52,100,100,97,68,99,72,50,62,60,83,84,45,91,79,58,92,82,96,90,99
98,99,99,97,52,96,99,68,49,50,96,97,82,71,97,72,48,59,59,86,84,44,88,79,42,90,79,99,89,97
81,100,96,98,48,99,98,68,50,27,98,100,81,68,97,71,49,61,59,84,86,43,69,81,42,91,82,100,91,96
80,96,96,98,49,96,98,70,48,23,99,98,96,96,99,71,49,61,60,87,83,43,71,78,40,90,82,100,89,96
81,99,99,96,50,96,97,71,51,52,100,97,82,98,96,69,48,59,61,87,83,46,72,79,58,90,81,99,89,96
81,98,99,97,50,96,97,68,50,49,100,97,98,97,97,72,52,58,62,65,63,43,89,79,59,88,81,98,88,100
100,96,96,100,52,100,100,71,49,50,97,96,79,100,98,68,51,59,61,65,85,44,72,79,39,92,79,98,91,98
97,97,97,97,48,97,96,70,52,48,99,97,82,99,96,70,48,60,59,83,64,47,88,80,42,89,80,98,92,98
96,100,96,97,50,99,96,70,51,50,98,97,97,96,97,69,50,61,58,65,66,43,68,78,42,88,81,99,92,97
80,98,99,98,49,100,100,72,50,27,98,98,97,70,100,68,49,60,62,83,67,45,72,78,39,88,81,99,88,97
97,99,98,97,50,99,99,71,48,26,96,96,96,71,100,70,52,60,62,67,85,45,68,79,38,88,78,97,92,96
96,96,100,96,52,100,100,71,48,49,98,100,80,70,100,71,51,59,60,63,66,47,91,82,39,89,78,96,90,97
81,99,100,97,49,96,100,68,50,51,97,99,99,69,99,70,48,60,60,84,66,44,68,80,41,88,80,99,89,99
99,98,99,100,48,97,96,71,49,50,96,98,81,68,99,71,48,60,58,83,66,44,69,78,40,89,78,96,92,99
96,99,98,98,52,98,100,69,50,27,96,99,96,71,98,68,48,58,58,66,83,44,69,78,62,89,79,100,90,98
96,100,96,96,49,99,99,71,51,25,96,100,82,96,97,70,50,59,60,63,87,45,91,80,41,88,79,97,92,96
80,98,98,97,50,98,96,68,50,48,99,96,98,72,99,69,49,61,60,84,63,46,89,82,40,91,79,99,88,99
82,98,100,99,49,96,97,71,52,51,96,97,99,97,96,69,50,61,59,63,86,45,88,80,42,92,78,97,91,97
97,97,99,97,50,96,96,71,48,27,98,98,82,70,97,72,49,62,62,66,84,45,88,78,40,88,79,96,88,100
82,98,97,100,51,96,97,68,50,50,98,97,79,71,99,71,48,61,60,84,66,45,71,81,62,91,81,96,89,98
81,98,96,100,51,96,96,70,48,48,97,98,96,99,96,71,50,62,58,63,83,46,88,78,39,92,80,100,91,100
82,98,97,98,52,97,96,69,50,24,100,97,97,69,97,71,49,60,62,87,65,45,90,81,61,88,82,100,92,99
80,98,96,99,50,99,98,72,51,24,96,98,81,71,98,68,50,59,59,65,84,44,70,81,61,88,80,98,91,96
82,100,96,96,48,99,98,72,48,52,99,96,99,71,96,70,50,58,59,84,64,44,70,78,38,89,79,96,91,96
79,97,96,99,50,99,96,69,50,24,98,97,81,72,96,69,49,58,58,87,66,43,90,78,41,92,79,98,88,96
78,97,97,98,48,100,100,70,49,50,97,97,97,96,96,70,49,58,61,83,67,46,69,82,62,89,82,97,88,99
82,99,100,96,48,98,99,69,51,26,98,96,98,69,96,72,50,58,61,83,85,44,88,80,38,91,80,99,91,97
100,97,98,100,49,100,96,68,51,50,97,98,96,70,96,70,48,62,58,65,64,43,72,78,42,92,78,97,89,100
82,99,98,99,50,99,100,68,50,24,99,100,96,98,97,71,51,59,59,63,83,46,68,80,61,91,81,98,88,98
78,98,96,96,52,96,98,69,48,52,99,96,81,98,97,70,49,62,61,86,86,45,91,80,59,88,80,97,92,99
82,96,99,96,49,98,98,70,52,52,97,96,100,100,96,71,49,58,58,65,84,47,90,78,61,89,82,96,89,100
99,100,97,98,50,99,97,71,49,23,96,100,80,97,97,71,49,59,59,83,63,44,88,80,58,90,81,98,91,98
82,98,98,99,51,97,96,72,48,27,99,96,81,96,100,68,51,60,59,67,85,47,91,81,38,88,79,99,89,98
99,98,97,97,51,99,100,71,51,23,99,96,96,97,98,69,51,62,58,83,83,43,72,78,62,92,82,100,90,99
79,100,98,99,49,100,96,70,51,52,96,97,80,99,99,69,49,61,61,64,84,43,69,82,41,90,80,98,89,98
80,99,99,99,49,98,96,69,48,27,97,98,97,99,98,69,49,59,59,64,83,44,89,82,38,88,80,97,92,97
96,97,100,99,48,96,99,69,50,51,98,96,81,69,98,69,51,58,61,83,64,47,89,82,59,88,78,98,90,97
80,97,97,100,49,97,96,69,52,50,100,98,99,98,97,71,50,59,58,85,85,44,89,80,38,91,79,100,92,97
97,98,100,100,52,98,100,70,51,25,100,100,80,96,100,71,52,61,58,64,67,47,69,79,59,91,81,98,89,99
82,98,99,97,49,98,99,70,52,49,97,100,80,71,100,72,52,59,62,87,85,46,72,78,59,92,81,100,88,99
80,100,98,96,49,98,99,71,51,48,97,96,81,69,96,72,50,59,61,66,64,45,91,79,42,90,81,96,92,99
96,98,97,100,48,100,100,70,49,26,98,98,100,68,97,72,50,59,59,64,65,44,92,78,59,88,81,99,92,96
97,96,100,100,48,97,96,71,49,25,97,100,79,72,97,71,52,60,61,86,85,44,68,78,62,92,81,100,88,97
79,96,96,96,48,96,97,72,50,25,96,98,82,97,96,71,52,59,62,64,87,43,89,80,39,88,81,98,90,96
100,99,98,100,49,99,100,72,51,52,98,97,81,71,99,72,51,59,59,64,64,44,89,81,40,92,80,97,92,96
80,96,99,96,51,96,100,68,51,48,100,97,78,97,96,70,52,59,58,67,66,43,90,81,41,91,79,96,89,99
98,97,100,97,50,97,98,69,50,52,99,96,98,96,97,72,50,61,58,85,65,44,69,80,59,89,80,99,89,99
82,100,97,99,52,97,96,71,49,27,98,97,98,71,98,68,50,60,58,85,65,43,88,82,41,92,78,97,91,98
99,98,99,98,51,100,97,69,48,26,97,99,100,71,98,70,48,61,61,84,85,47,72,80,42,90,80,98,91,96
96,96,99,100,49,98,99,70,50,51,99,100,98,72,100,72,49,62,58,87,66,46,90,82,58,92,82,99,89,99
100,99,97,99,50,100,99,69,51,23,98,96,81,99,100,71,51,61,58,65,63,43,72,81,62,91,82,100,89,98
97,98,98,96,48,97,98,71,49,50,100,100,81,69,98,68,49,59,60,83,83,43,89,78,60,91,81,99,90,97
78,99,97,100,50,99,96,70,50,25,97,99,78,71,96,70,49,60,59,66,65,45,90,80,59,90,82,100,89,97
78,99,97,100,52,98,97,69,52,23,99,96,98,98,100,68,51,60,61,83,66,47,91,82,39,92,81,98,88,97
81,98,100,96,48,96,100,68,50,23,99,96,96,71,96,70,48,62,61,83,66,47,92,81,61,89,82,100,91,97
96,96,100,97,48,96,100,68,50,23,100,96,79,72,96,69,51,60,61,66,85,45,90,79,62,91,80,99,91,96
81,96,100,97,52,96,98,71,52,50,96,99,81,70,96,70,50,61,62,85,67,43,71,79,39,89,78,99,90,96
79,97,100,97,52,99,98,71,52,24,96,98,100,99,98,69,52,59,62,83,66,43,71,82,39,88,81,96,92,97
96,97,98,96,51,98,97,72,52,52,97,100,82,72,100,69,50,60,60,84,64,47,69,80,61,92,78,96,91,98
80,98,100,99,50,98,99,68,48,51,98,98,100,72,98,68,52,62,59,65,64,45,72,81,61,89,80,97,90,97
82,99,96,97,52,98,100,69,51,51,99,96,82,69,97,69,49,59,59,64,66,46,90,81,59,90,82,98,91,97
98,97,100,100,49,97,100,69,50,49,96,100,82,97,97,72,49,58,62,63,87,47,70,79,41,92,82,99,89,98
78,97,98,99,50,96,99,70,48,51,97,100,98,96,100,69,50,62,62,85,64,46,71,81,60,89,82,99,90,99
81,99,100,97,52,99,97,69,51,25,100,97,81,96,100,72,52,58,59,66,63,44,69,80,38,88,80,97,91,99
78,98,100,100,52,97,100,69,48,23,96,98,97,68,97,71,51,58,62,63,64,47,71,82,40,91,82,96,89,96
80,100,100,97,48,97,97,68,52,51,96,100,98,70,97,70,50,59,61,86,67,45,70,78,59,90,82,99,88,97
98,98,99,100,49,99,97,69,51,27,100,98,98,98,100,69,52,61,62,63,86,47,90,79,61,90,79,99,90,98
98,99,99,96,50,96,97,69,49,26,99,97,78,100,96,69,48,61,61,83,64,45,68,80,39,89,80,96,90,98
79,96,97,97,50,97,98,69,52,49,99,98,96,72,96,68,49,59,58,66,87,47,71,79,60,88,80,97,91,98
97,98,98,100,51,96,100,71,48,23,99,96,99,97,99,71,51,61,59,86,67,47,69,78,59,92,79,98,91,97
79,99,97,100,50,100,100,71,52,52,97,98,98,69,97,71,48,59,61,66,67,43,91,79,39,91,82,96,92,98
78,99,100,97,50,99,100,69,52,23,98,98,97,97,97,71,51,59,61,84,86,44,88,80,59,91,82,99,92,96
99,99,97,96,51,96,99,68,51,25,100,98,82,72,97,71,49,62,59,86,67,47,69,81,62,90,80,99,91,96
82,98,98,100,52,97,96,70,52,50,99,97,79,100,97,72,51,61,59,64,64,43,68,79,62,90,82,99,92,100
82,100,97,97,49,99,100,68,49,25,98,96,97,97,96,72,49,61,60,84,84,47,91,78,42,88,79,96,90,100
100,96,100,99,49,96,98,71,49,48,100,98,99,96,96,68,49,60,61,85,84,44,70,78,41,89,81,98,90,99
80,99,96,96,52,96,97,69,51,50,96,96,96,98,97,72,52,58,61,87,83,43,91,79,61,90,78,98,89,98
80,100,96,99,51,99,98,69,52,52,96,99,81,69,100,69,48,61,62,86,67,44,68,80,42,91,79,100,92,97
79,96,99,98,52,97,100,68,51,25,97,98,80,69,100,71,48,62,59,84,83,47,72,80,42,89,82,100,88,98
99,100,100,97,51,97,99,70,50,25,99,100,81,71,100,69,48,62,61,63,83,47,70,78,38,90,81,96,89,97
98,99,97,96,49,98,100,72,49,52,100,99,98,72,98,71,52,62,58,64,83,45,88,81,62,88,79,99,89,99
79,100,98,98,50,98,100,69,49,23,98,97,99,68,97,70,52,58,61,86,84,46,68,81,58,91,80,100,92,96
79,100,96,100,51,100,100,68,51,26,97,98,80,100,97,68,52,59,60,86,66,45,88,80,62,90,80,100,90,100
99,97,96,100,52,98,96,68,48,48,100,100,97,72,98,71,48,61,60,86,64,43,70,82,59,88,78,96,90,100
